Coordinate,Energy
0.5000,-1.07107
0.6000,-1.12553
0.7000,-1.14440
0.8000,-1.14510
0.9000,-1.13654
1.0000,-1.12352
1.1000,-1.10872
1.2000,-1.09363
1.3000,-1.07911
1.4000,-1.06564
1.5000,-1.05349
1.6000,-1.04279
1.7000,-1.03357
1.8000,-1.02579
1.9000,-1.01936
2.0000,-1.01414
2.1000,-1.00997
2.2000,-1.00671
2.3000,-1.00418
2.4000,-1.00225
2.5000,-1.00079
2.6000,-0.99969
2.7000,-0.99886
2.8000,-0.99825
2.9000,-0.99779
3.0000,-0.99745
3.1000,-0.99720
3.2000,-0.99701
3.3000,-0.99687
3.4000,-0.99677
3.5000,-0.99669
